,Unnamed: 0,Price,Address,Bedrooms,Bathrooms,Sqft,ZipCode,State,City,Latitude,Longitude,County
78,78,750000.0,"3520 S Fleetwood Dr, Salt Lake City, UT 84109",6.0,2.0,2364.0,84109.0,UT,Salt Lake City,,,Salt Lake County
79,79,439900.0,"11717 S. Bingham Rim Rd., South Jordan, UT 8...",3.0,2.0,1361.0,,,,,,Unknown
80,80,449900.0,"11743 S. Bingham Rim Rd., South Jordan, UT 8...",3.0,2.5,1603.0,,,,,,Unknown
81,81,408900.0,"11751 S. Bingham Rim Rd., South Jordan, UT 8...",3.0,2.5,1540.0,,,,,,Unknown
82,82,449900.0,"11757 S. Bingham Rim Road, South Jordan, UT...",3.0,2.5,1550.0,,,,,,Unknown
83,83,409900.0,"11767 S. Bingham Rim Road, South Jordan, UT...",3.0,2.5,1540.0,,,,,,Unknown
84,84,885900.0,"11441 S. Silver Pond Dr., South Jordan, UT 84009",4.0,2.5,5000.0,84009.0,UT,South Jordan,40.540016,-112.0527592,Salt Lake County
85,85,1335995.0,"5882 N Canyon Rim Rd, Lehi, UT 84043",6.0,4.5,4306.0,84043.0,UT,Lehi,,,Utah County
86,86,799900.0,"11254 S. Bingham Rim Rd, South Jordan, UT 84...",4.0,2.5,3813.0,,,,,,Unknown
87,87,409900.0,"11769 S. Bingham Rim Road, South Jordan, UT...",3.0,2.5,1540.0,,,,,,Unknown
88,88,439900.0,"11773 S. Bingham Rim Rd, South Jordan, UT 84...",3.0,2.0,1370.0,,,,,,Unknown
89,89,425900.0,"6682 W. Leander Dr., South Jordan, UT 84009",3.0,2.0,1361.0,84009.0,UT,South Jordan,,,Salt Lake County
90,90,419900.0,"6684 W. Leander Dr., South Jordan, UT 84009",3.0,2.0,1361.0,84009.0,UT,South Jordan,,,Salt Lake County
91,91,1325000.0,"878 W Abigail Dr, Kamas, UT 84036",5.0,3.5,3066.0,84036.0,UT,Kamas,,,Summit County
92,92,479000.0,"4930 W 3235 S, Salt Lake City, UT 84120",4.0,2.0,1714.0,84120.0,UT,Salt Lake City,,,Salt Lake County
93,93,616340.0,"7484 S Grant Grove Lane, West Jordan, UT 84084",3.0,2.0,1545.0,84084.0,UT,West Jordan,,,Salt Lake County
94,94,626600.0,"7478 S Moro Rock Lane, West Jordan, UT 84084",4.0,2.0,1935.0,84084.0,UT,West Jordan,,,Salt Lake County
95,95,644760.0,"7477 S Grant Grove Lane, West Jordan, UT 84084",4.0,2.0,2066.0,84084.0,UT,West Jordan,,,Salt Lake County
96,96,638195.0,"7486 S Moro Rock Lane, West Jordan, UT 84084",4.0,2.0,2066.0,84084.0,UT,West Jordan,,,Salt Lake County
97,97,475000.0,"2760 N 3900 West, Lehi, UT 84043",3.0,3.0,1584.0,84043.0,UT,Lehi,,,Utah County
98,98,484200.0,"2752 N 3900 West, Lehi, UT 84043",3.0,3.0,1572.0,84043.0,UT,Lehi,,,Utah County
99,99,473500.0,"2755 N 3870 West, Lehi, UT 84043",3.0,3.0,1591.0,84043.0,UT,Lehi,40.4093555,-111.9116762,Utah County
100,100,623430.0,"12926 S Red Sunset Lane, Herriman, UT 840...",3.0,2.0,1579.0,,,,,,Unknown
101,101,637300.0,"12934 S Red Sunset Lane, Herriman, UT 840...",3.0,2.0,1691.0,,,,,,Unknown
